"Date,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude"
"1930-07-01,28.894,0.383,Kusti,Sudan,13.66N,32.20E"
"1938-11-01,27.729,0.597,Kusti,Sudan,13.66N,32.20E"
"1947-03-01,26.944,0.26,Kusti,Sudan,13.66N,32.20E"
"1983-11-01,13.309,0.172,Xiangdong,China,28.13N,113.64E"
"1992-03-01,8.293,0.201,Xiangdong,China,28.13N,113.64E"
"2000-07-01,29.632,0.35,Xiangdong,China,28.13N,113.64E"
"2008-11-01,12.746,0.196,Xiangdong,China,28.13N,113.64E"
"1843-09-01,20.583,1.139,Xiangfan,China,32.95N,112.02E"
"1852-01-01,0.592,2.285,Xiangfan,China,32.95N,112.02E"
"1860-05-01,18.516,1.676,Xiangfan,China,32.95N,112.02E"
"1868-09-01,20.971,1.187,Xiangfan,China,32.95N,112.02E"
"1877-01-01,-0.034,1.931,Xiangfan,China,32.95N,112.02E"
"1885-05-01,20.025,1.306,Xiangfan,China,32.95N,112.02E"
"1958-09-01,28.038,0.322,Vinh Long,Vietnam,10.45N,105.55E"
"1967-01-01,25.12,0.344,Vinh Long,Vietnam,10.45N,105.55E"
"1975-05-01,28.958,0.202,Vinh Long,Vietnam,10.45N,105.55E"
"1983-09-01,27.917,0.167,Vinh Long,Vietnam,10.45N,105.55E"
"1992-01-01,25.811,0.329,Vinh Long,Vietnam,10.45N,105.55E"
"2000-05-01,28.963,0.234,Vinh Long,Vietnam,10.45N,105.55E"
"2008-09-01,27.648,0.235,Vinh Long,Vietnam,10.45N,105.55E"
"1754-08-01,17.371,3.76,Vinnitsa,Ukraine,49.03N,29.39E"
"1762-12-01,-5.2,4.382,Vinnitsa,Ukraine,49.03N,29.39E"
"1771-04-01,4.551,5.828,Vinnitsa,Ukraine,49.03N,29.39E"
"2006-05-01,15.015,0.331,Novorossiysk,Russia,44.20N,38.01E"
"1821-07-01,17.323,2.326,Novosibirsk,Russia,55.45N,82.20E"
"1829-11-01,-8.866,2.704,Novosibirsk,Russia,55.45N,82.20E"
"1838-03-01,-15.909,6.006,Novosibirsk,Russia,55.45N,82.20E"
"1846-07-01,18.994,1.696,Novosibirsk,Russia,55.45N,82.20E"
"1854-11-01,-10.14,2.642,Novosibirsk,Russia,55.45N,82.20E"
"1863-03-01,-9.981,1.262,Novosibirsk,Russia,55.45N,82.20E"
"1871-07-01,18.771,1.137,Novosibirsk,Russia,55.45N,82.20E"
"1879-11-01,-10.724,1.623,Novosibirsk,Russia,55.45N,82.20E"
"1888-03-01,-9.023,1.936,Novosibirsk,Russia,55.45N,82.20E"
"1936-06-01,26.376,0.478,Waw,Sudan,7.23N,28.38E"
"1944-10-01,26.748,0.653,Waw,Sudan,7.23N,28.38E"
"1953-02-01,28.892,0.315,Waw,Sudan,7.23N,28.38E"
"1961-06-01,26.652,0.561,Waw,Sudan,7.23N,28.38E"
"1969-10-01,26.878,0.513,Waw,Sudan,7.23N,28.38E"
"1978-02-01,29.245,0.647,Waw,Sudan,7.23N,28.38E"
"1986-06-01,26.71,0.208,Waw,Sudan,7.23N,28.38E"
"1994-10-01,26.979,0.32,Waw,Sudan,7.23N,28.38E"
"2003-02-01,29.158,0.891,Waw,Sudan,7.23N,28.38E"
"2011-06-01,27.714,0.305,Waw,Sudan,7.23N,28.38E"
"1822-03-01,20.596,2.253,Wazirabad,Pakistan,32.95N,73.72E"
"1842-03-01,18.945,2.408,Wazirabad,Pakistan,32.95N,73.72E"
"1955-07-01,29.377,0.324,Kusti,Sudan,13.66N,32.20E"
"1963-11-01,28.196,0.209,Kusti,Sudan,13.66N,32.20E"
"1972-03-01,28.816,0.644,Kusti,Sudan,13.66N,32.20E"
"1980-07-01,29.071,0.278,Kusti,Sudan,13.66N,32.20E"
"1988-11-01,28.335,0.542,Kusti,Sudan,13.66N,32.20E"
"1997-03-01,29.163,0.353,Kusti,Sudan,13.66N,32.20E"
"2005-07-01,29.986,0.401,Kusti,Sudan,13.66N,32.20E"
"1841-05-01,16.572,1.488,Kuwana,Japan,34.56N,136.22E"
"1852-03-01,5.738,1.559,Kuwana,Japan,34.56N,136.22E"
"1860-07-01,25.3,1.522,Kuwana,Japan,34.56N,136.22E"
"1868-11-01,11.176,2.205,Kuwana,Japan,34.56N,136.22E"
"1802-07-01,20.247,2.012,Orel,Russia,52.24N,36.79E"
"1810-11-01,-4.294,2.584,Orel,Russia,52.24N,36.79E"
"1819-03-01,-3.901,7.425,Orel,Russia,52.24N,36.79E"
"1827-07-01,19.256,1.621,Orel,Russia,52.24N,36.79E"
"1835-11-01,-5.221,1.57,Orel,Russia,52.24N,36.79E"
"1844-03-01,-4.842,2.907,Orel,Russia,52.24N,36.79E"
"1852-07-01,16.43,1.467,Orel,Russia,52.24N,36.79E"
"1860-11-01,-2.93,0.848,Orel,Russia,52.24N,36.79E"
"1869-03-01,-2.276,1.763,Orel,Russia,52.24N,36.79E"
"1877-07-01,19.128,0.863,Orel,Russia,52.24N,36.79E"
"1885-11-01,-3.946,0.879,Orel,Russia,52.24N,36.79E"
"1995-11-01,26.921,0.235,Soc Trang,Vietnam,8.84N,106.22E"
"2004-03-01,26.904,0.517,Soc Trang,Vietnam,8.84N,106.22E"
"2012-07-01,28.692,0.549,Soc Trang,Vietnam,8.84N,106.22E"
"1758-06-01,18.336,3.558,Sochi,Russia,44.20N,40.25E"
"1772-08-01,21.248,3.153,Sochi,Russia,44.20N,40.25E"
"1780-12-01,-1.047,2.679,Sochi,Russia,44.20N,40.25E"
"1789-04-01,8.506,2.429,Sochi,Russia,44.20N,40.25E"
"1797-08-01,20.894,2.534,Sochi,Russia,44.20N,40.25E"
"1805-12-01,2.314,2.472,Sochi,Russia,44.20N,40.25E"
"1814-04-01,8.405,1.663,Sochi,Russia,44.20N,40.25E"
"1822-08-01,19.001,1.594,Sochi,Russia,44.20N,40.25E"
"1776-07-01,19.121,3.003,Lvov,Ukraine,50.63N,24.08E"
"1784-11-01,2.728,2.544,Lvov,Ukraine,50.63N,24.08E"
"1793-03-01,-0.511,3.987,Lvov,Ukraine,50.63N,24.08E"
"1801-07-01,19.416,3.432,Lvov,Ukraine,50.63N,24.08E"
"1809-11-01,0.664,3.785,Lvov,Ukraine,50.63N,24.08E"
"1818-03-01,3.094,2.442,Lvov,Ukraine,50.63N,24.08E"
"1826-07-01,21.262,1.51,Lvov,Ukraine,50.63N,24.08E"
"1834-11-01,2.358,2.62,Lvov,Ukraine,50.63N,24.08E"
"1843-03-01,-0.327,1.61,Lvov,Ukraine,50.63N,24.08E"
"1851-07-01,18.019,2.054,Lvov,Ukraine,50.63N,24.08E"
"1859-11-01,1.876,1.507,Lvov,Ukraine,50.63N,24.08E"
"1979-11-01,-8.052,0.148,Novosibirsk,Russia,55.45N,82.20E"
"1988-03-01,-7.843,0.432,Novosibirsk,Russia,55.45N,82.20E"
"1996-07-01,21.147,0.342,Novosibirsk,Russia,55.45N,82.20E"
"2004-11-01,-3.524,0.337,Novosibirsk,Russia,55.45N,82.20E"
"2013-03-01,-8.784,1.922,Novosibirsk,Russia,55.45N,82.20E"
"1791-10-01,2.869,2.411,Novotroitsk,Russia,50.63N,59.58E"
"1819-04-01,2.12,2.478,Novotroitsk,Russia,50.63N,59.58E"
"1827-08-01,20.032,1.937,Novotroitsk,Russia,50.63N,59.58E"
"1835-12-01,-15.029,5.051,Novotroitsk,Russia,50.63N,59.58E"
"1844-04-01,-0.506,2.249,Novotroitsk,Russia,50.63N,59.58E"
"2005-12-01,6.521,0.351,Mianyang,China,31.35N,105.55E"
"1780-05-01,14.645,2.563,Miass,Russia,55.45N,59.53E"
"1792-11-01,-7.214,3.084,Miass,Russia,55.45N,59.53E"
"1817-01-01,-14.003,4.352,Miass,Russia,55.45N,59.53E"
"1825-05-01,7.751,2.473,Miass,Russia,55.45N,59.53E"
"1833-09-01,7.252,1.903,Miass,Russia,55.45N,59.53E"
"1842-01-01,-13.733,1.564,Miass,Russia,55.45N,59.53E"
"1850-05-01,7.766,0.812,Miass,Russia,55.45N,59.53E"
"1858-09-01,6.808,1.298,Miass,Russia,55.45N,59.53E"
"1867-01-01,-12.054,2.112,Miass,Russia,55.45N,59.53E"
"1875-05-01,8.737,0.422,Miass,Russia,55.45N,59.53E"
"2004-09-01,23.736,0.163,Lengshuijiang,China,28.13N,111.82E"
"2013-01-01,4.73,0.359,Lengshuijiang,China,28.13N,111.82E"
"1828-03-01,-7.563,2.765,Leninsk Kuznetskiy,Russia,53.84N,85.91E"
"1836-07-01,17.759,1.556,Leninsk Kuznetskiy,Russia,53.84N,85.91E"
"1844-11-01,-8.591,1.589,Leninsk Kuznetskiy,Russia,53.84N,85.91E"
"1853-03-01,-10.223,1.376,Leninsk Kuznetskiy,Russia,53.84N,85.91E"
"1861-07-01,18.305,1.004,Leninsk Kuznetskiy,Russia,53.84N,85.91E"
"1869-11-01,-7.687,1.839,Leninsk Kuznetskiy,Russia,53.84N,85.91E"
"1878-03-01,-4.723,1.665,Leninsk Kuznetskiy,Russia,53.84N,85.91E"
"1995-02-01,10.331,0.596,Kirkuk,Iraq,36.17N,43.76E"
"2003-06-01,30.583,0.505,Kirkuk,Iraq,36.17N,43.76E"
"2011-10-01,20.151,0.476,Kirkuk,Iraq,36.17N,43.76E"
"1756-01-01,-12.357,4.972,Kirov,Russia,58.66N,49.23E"
"1764-05-01,8.955,4.47,Kirov,Russia,58.66N,49.23E"
"1772-09-01,8.505,2.874,Kirov,Russia,58.66N,49.23E"
"1781-01-01,-15.035,5.278,Kirov,Russia,58.66N,49.23E"
"1789-05-01,11.202,3.241,Kirov,Russia,58.66N,49.23E"
"1797-09-01,10.562,3.115,Kirov,Russia,58.66N,49.23E"
"1806-01-01,-12.788,2.863,Kirov,Russia,58.66N,49.23E"
"1814-05-01,5.482,1.714,Kirov,Russia,58.66N,49.23E"
"1753-11-01,3.945,3.074,Armavir,Russia,45.81N,40.38E"
"1762-03-01,2.049,3.302,Armavir,Russia,45.81N,40.38E"
"1771-05-01,14.804,6.28,Armavir,Russia,45.81N,40.38E"
"1779-09-01,17.46,2.594,Armavir,Russia,45.81N,40.38E"
"1788-01-01,-4.589,2.53,Armavir,Russia,45.81N,40.38E"
"1796-05-01,16.817,1.89,Armavir,Russia,45.81N,40.38E"
"1804-09-01,17.919,3.205,Armavir,Russia,45.81N,40.38E"
"1813-01-01,-10.003,2.403,Armavir,Russia,45.81N,40.38E"
"1821-05-01,16.95,1.862,Armavir,Russia,45.81N,40.38E"
"1829-09-01,16.962,2.422,Armavir,Russia,45.81N,40.38E"
"1838-01-01,-9.612,3.068,Armavir,Russia,45.81N,40.38E"
"1846-05-01,14.735,2.231,Armavir,Russia,45.81N,40.38E"
"1854-09-01,15.636,1.194,Armavir,Russia,45.81N,40.38E"
"1863-01-01,-2.77,2.42,Armavir,Russia,45.81N,40.38E"
"1871-05-01,13.726,0.651,Armavir,Russia,45.81N,40.38E"
"1879-09-01,16.439,0.694,Armavir,Russia,45.81N,40.38E"
"1888-01-01,-4.516,0.916,Armavir,Russia,45.81N,40.38E"
"1896-05-01,14.996,0.37,Armavir,Russia,45.81N,40.38E"
"1904-09-01,16.802,0.455,Armavir,Russia,45.81N,40.38E"
"1913-01-01,-3.839,0.495,Armavir,Russia,45.81N,40.38E"
"1921-05-01,19.366,0.638,Armavir,Russia,45.81N,40.38E"
"1929-09-01,15.3,0.266,Armavir,Russia,45.81N,40.38E"
"1978-06-01,28.313,0.306,Can Tho,Vietnam,10.45N,105.55E"
"1986-10-01,27.575,0.242,Can Tho,Vietnam,10.45N,105.55E"
"1995-02-01,27.033,0.27,Can Tho,Vietnam,10.45N,105.55E"
"2003-06-01,28.95,0.321,Can Tho,Vietnam,10.45N,105.55E"
"2011-10-01,28.198,0.352,Can Tho,Vietnam,10.45N,105.55E"
"1847-05-01,6.825,1.494,Canberra,Australia,36.17S,149.17E"
"1856-07-01,3.383,1.111,Canberra,Australia,36.17S,149.17E"
"1864-11-01,13.676,1.586,Canberra,Australia,36.17S,149.17E"
"1873-03-01,14.93,0.562,Canberra,Australia,36.17S,149.17E"
"1881-07-01,3.873,0.689,Canberra,Australia,36.17S,149.17E"
"1920-02-01,25.036,0.494,Digos,Philippines,7.23N,125.68E"
"1928-06-01,25.983,0.475,Digos,Philippines,7.23N,125.68E"
"1936-10-01,25.771,0.372,Digos,Philippines,7.23N,125.68E"
"1945-02-01,25.235,0.917,Digos,Philippines,7.23N,125.68E"
"1953-06-01,26.194,0.202,Digos,Philippines,7.23N,125.68E"
"1961-10-01,25.881,0.323,Digos,Philippines,7.23N,125.68E"
"1970-02-01,25.824,0.184,Digos,Philippines,7.23N,125.68E"
"1978-06-01,26.312,0.392,Digos,Philippines,7.23N,125.68E"
"1986-10-01,26.358,0.146,Digos,Philippines,7.23N,125.68E"
"1995-02-01,25.694,0.448,Digos,Philippines,7.23N,125.68E"
"2003-06-01,26.365,0.495,Digos,Philippines,7.23N,125.68E"
"2011-10-01,26.453,0.131,Digos,Philippines,7.23N,125.68E"
"1756-01-01,1.977,5.535,Dijon,France,47.42N,5.92E"
"1764-05-01,14.44,8.326,Dijon,France,47.42N,5.92E"
"1772-09-01,15.353,4.013,Dijon,France,47.42N,5.92E"
"1781-01-01,0.091,8.956,Dijon,France,47.42N,5.92E"
"1789-05-01,15.111,4.343,Dijon,France,47.42N,5.92E"
"1797-09-01,14.051,4.9,Dijon,France,47.42N,5.92E"
"1806-01-01,2.637,1.668,Dijon,France,47.42N,5.92E"
"1814-05-01,10.846,1.566,Dijon,France,47.42N,5.92E"
"1822-09-01,14.111,2.345,Dijon,France,47.42N,5.92E"
"1964-11-01,6.027,0.347,Weinan,China,34.56N,108.97E"
"1973-03-01,8.328,0.32,Weinan,China,34.56N,108.97E"
"1981-07-01,24.752,0.622,Weinan,China,34.56N,108.97E"
"1989-11-01,4.032,0.327,Weinan,China,34.56N,108.97E"
"1998-03-01,5.893,0.438,Weinan,China,34.56N,108.97E"
"2006-07-01,25.957,0.727,Weinan,China,34.56N,108.97E"
"1858-02-01,21.632,1.596,Welkom,South Africa,28.13S,26.36E"
"1867-04-01,16.401,1.77,Welkom,South Africa,28.13S,26.36E"
"1876-06-01,8.955,1.199,Welkom,South Africa,28.13S,26.36E"
"1884-10-01,18.645,0.857,Welkom,South Africa,28.13S,26.36E"
"2011-07-01,27.965,0.239,Ouagadougou,Burkina Faso,12.05N,1.64W"
"1756-08-01,11.437,8.704,Oulu,Finland,65.09N,24.89E"
"1764-12-01,-7.627,3.685,Oulu,Finland,65.09N,24.89E"
"1773-04-01,1.142,2.322,Oulu,Finland,65.09N,24.89E"
"1781-08-01,14.283,2.423,Oulu,Finland,65.09N,24.89E"
"1789-12-01,-3.48,2.3,Oulu,Finland,65.09N,24.89E"
"1798-04-01,-0.688,1.526,Oulu,Finland,65.09N,24.89E"
"1806-08-01,15.553,1.777,Oulu,Finland,65.09N,24.89E"
"1814-12-01,-9.344,7.742,Oulu,Finland,65.09N,24.89E"
"1823-04-01,-1.789,3.161,Oulu,Finland,65.09N,24.89E"
"1831-08-01,13.669,2.329,Oulu,Finland,65.09N,24.89E"
"2005-12-01,-5.162,0.252,Kitchener,Canada,44.20N,80.50W"
"1850-07-01,16.532,1.318,Kitwe,Zambia,12.05S,27.95E"
"1882-03-01,20.88,1.466,Kitwe,Zambia,12.05S,27.95E"
"1890-07-01,16.071,1.269,Kitwe,Zambia,12.05S,27.95E"
"1898-11-01,22.839,1.059,Kitwe,Zambia,12.05S,27.95E"
"1907-03-01,21.244,0.63,Kitwe,Zambia,12.05S,27.95E"
"1915-07-01,17.898,1.239,Kitwe,Zambia,12.05S,27.95E"
"1923-11-01,23.881,1.557,Kitwe,Zambia,12.05S,27.95E"
"1932-03-01,20.844,0.421,Kitwe,Zambia,12.05S,27.95E"
"1940-07-01,16.038,0.737,Kitwe,Zambia,12.05S,27.95E"
"1948-11-01,22.375,0.467,Kitwe,Zambia,12.05S,27.95E"
"1758-04-01,8.088,5.042,Rostov Na Donu,Russia,47.42N,39.08E"
"1767-06-01,21.654,3.038,Rostov Na Donu,Russia,47.42N,39.08E"
"1775-10-01,11.316,2.756,Rostov Na Donu,Russia,47.42N,39.08E"
"1784-02-01,-6.424,6.184,Rostov Na Donu,Russia,47.42N,39.08E"
"1792-06-01,21.605,1.689,Rostov Na Donu,Russia,47.42N,39.08E"
"1800-10-01,9.724,2.668,Rostov Na Donu,Russia,47.42N,39.08E"
"1809-02-01,-5.251,3.171,Rostov Na Donu,Russia,47.42N,39.08E"
"1817-06-01,18.234,2.465,Rostov Na Donu,Russia,47.42N,39.08E"
"1825-10-01,8.131,2.494,Rostov Na Donu,Russia,47.42N,39.08E"
"1750-05-01,10.804,2.181,Yaroslavl,Russia,57.05N,39.84E"
"1758-09-01,7.719,2.709,Yaroslavl,Russia,57.05N,39.84E"
"1767-01-01,-15.507,5.266,Yaroslavl,Russia,57.05N,39.84E"
"1775-05-01,11.012,3.25,Yaroslavl,Russia,57.05N,39.84E"
"1783-09-01,9.47,3.44,Yaroslavl,Russia,57.05N,39.84E"
"1792-01-01,-15.786,3.283,Yaroslavl,Russia,57.05N,39.84E"
"1800-05-01,10.367,2.122,Yaroslavl,Russia,57.05N,39.84E"
"1808-09-01,11.309,3.55,Yaroslavl,Russia,57.05N,39.84E"
"1817-01-01,-7.4,5.012,Yaroslavl,Russia,57.05N,39.84E"
"1825-05-01,7.853,2.736,Yaroslavl,Russia,57.05N,39.84E"
"2010-05-01,20.916,0.246,Zhuji,China,29.74N,120.00E"
"1756-04-01,5.885,2.491,Zhukovskiy,Russia,55.45N,36.85E"
"1764-08-01,15.416,1.702,Zhukovskiy,Russia,55.45N,36.85E"
"1772-12-01,-3.588,3.117,Zhukovskiy,Russia,55.45N,36.85E"
"1781-04-01,2.956,2.082,Zhukovskiy,Russia,55.45N,36.85E"
"1789-08-01,17.471,1.819,Zhukovskiy,Russia,55.45N,36.85E"
"1797-12-01,-5.253,3.046,Zhukovskiy,Russia,55.45N,36.85E"
"1806-04-01,4.122,3.763,Zhukovskiy,Russia,55.45N,36.85E"
"1814-08-01,16.109,1.371,Zhukovskiy,Russia,55.45N,36.85E"
"1822-12-01,-6.894,2.727,Zhukovskiy,Russia,55.45N,36.85E"
"1993-04-01,10.183,0.211,Rijeka,Croatia,45.81N,15.00E"
"2001-08-01,22.006,0.381,Rijeka,Croatia,45.81N,15.00E"
"2009-12-01,1.441,0.276,Rijeka,Croatia,45.81N,15.00E"
"1755-01-01,0.544,6.065,Rimini,Italy,44.20N,13.42E"
"1763-05-01,14.678,2.899,Rimini,Italy,44.20N,13.42E"
"1771-09-01,19.866,2.025,Rimini,Italy,44.20N,13.42E"
"1780-01-01,4.638,5.773,Rimini,Italy,44.20N,13.42E"
"1788-05-01,16.876,2.276,Rimini,Italy,44.20N,13.42E"
"1796-09-01,21.35,5.085,Rimini,Italy,44.20N,13.42E"
"1805-01-01,5.598,1.899,Rimini,Italy,44.20N,13.42E"
"1813-05-01,17.904,7.348,Rimini,Italy,44.20N,13.42E"
"1795-04-01,6.427,2.701,Elektrostal,Russia,55.45N,39.69E"
"1803-08-01,19.143,2.287,Elektrostal,Russia,55.45N,39.69E"
"1811-12-01,-5.854,2.72,Elektrostal,Russia,55.45N,39.69E"
"1820-04-01,6.49,1.832,Elektrostal,Russia,55.45N,39.69E"
"1828-08-01,17.186,2.837,Elektrostal,Russia,55.45N,39.69E"
"1836-12-01,-7.615,3.103,Elektrostal,Russia,55.45N,39.69E"
"1845-04-01,0.831,1.451,Elektrostal,Russia,55.45N,39.69E"
"1853-08-01,17.097,1.453,Elektrostal,Russia,55.45N,39.69E"
"1861-12-01,-8.532,2.19,Elektrostal,Russia,55.45N,39.69E"
"1870-04-01,4.477,1.069,Elektrostal,Russia,55.45N,39.69E"
"1810-03-01,-7.174,2.542,Ulyanovsk,Russia,53.84N,47.73E"
"1818-07-01,19.384,2.279,Ulyanovsk,Russia,53.84N,47.73E"
"1826-11-01,-1.914,1.755,Ulyanovsk,Russia,53.84N,47.73E"
"1835-03-01,-4.145,2.438,Ulyanovsk,Russia,53.84N,47.73E"
"1843-07-01,19.085,1.529,Ulyanovsk,Russia,53.84N,47.73E"
"1851-11-01,0.072,1.651,Ulyanovsk,Russia,53.84N,47.73E"
"1860-03-01,-11.965,2.169,Ulyanovsk,Russia,53.84N,47.73E"
"1868-07-01,18.35,0.966,Ulyanovsk,Russia,53.84N,47.73E"
"1876-11-01,-5.654,1.512,Ulyanovsk,Russia,53.84N,47.73E"
"1885-03-01,-5.312,0.719,Ulyanovsk,Russia,53.84N,47.73E"
"1822-09-01,9.281,2.809,Kirov,Russia,58.66N,49.23E"
"1831-01-01,-15.368,3.428,Kirov,Russia,58.66N,49.23E"
"1839-05-01,13.366,0.629,Kirov,Russia,58.66N,49.23E"
"1847-09-01,14.745,0.962,Kirov,Russia,58.66N,49.23E"
"1856-01-01,-11.216,1.065,Kirov,Russia,58.66N,49.23E"
"1864-05-01,10.051,0.726,Kirov,Russia,58.66N,49.23E"
"1872-09-01,6.759,0.895,Kirov,Russia,58.66N,49.23E"
"1881-01-01,-17.633,2.182,Kirov,Russia,58.66N,49.23E"
"1889-05-01,12.627,0.957,Kirov,Russia,58.66N,49.23E"
"1897-09-01,10.895,0.757,Kirov,Russia,58.66N,49.23E"
"1906-01-01,-13.402,0.586,Kirov,Russia,58.66N,49.23E"
"1770-02-01,-9.048,3.283,Sergiyev Posad,Russia,57.05N,36.89E"
"1778-06-01,15.421,5.412,Sergiyev Posad,Russia,57.05N,36.89E"
"1786-10-01,1.984,1.568,Sergiyev Posad,Russia,57.05N,36.89E"
"1795-02-01,-8.77,7.566,Sergiyev Posad,Russia,57.05N,36.89E"
"1803-06-01,15.768,1.884,Sergiyev Posad,Russia,57.05N,36.89E"
"1811-10-01,-0.294,5.518,Sergiyev Posad,Russia,57.05N,36.89E"
"1820-02-01,-12.305,3.973,Sergiyev Posad,Russia,57.05N,36.89E"
"1828-06-01,16.752,2.828,Sergiyev Posad,Russia,57.05N,36.89E"
"1836-10-01,5.061,5.26,Sergiyev Posad,Russia,57.05N,36.89E"
"1893-07-01,20.033,0.491,Ulyanovsk,Russia,53.84N,47.73E"
"1901-11-01,-4.487,0.537,Ulyanovsk,Russia,53.84N,47.73E"
"1910-03-01,-5.809,0.778,Ulyanovsk,Russia,53.84N,47.73E"
"1918-07-01,18.783,0.402,Ulyanovsk,Russia,53.84N,47.73E"
"1926-11-01,0.16,0.355,Ulyanovsk,Russia,53.84N,47.73E"
"1935-03-01,-6.143,0.665,Ulyanovsk,Russia,53.84N,47.73E"
"1943-07-01,19.885,0.374,Ulyanovsk,Russia,53.84N,47.73E"
"1951-11-01,-7.836,0.527,Ulyanovsk,Russia,53.84N,47.73E"
"1960-03-01,-7.698,0.497,Ulyanovsk,Russia,53.84N,47.73E"
"1968-07-01,16.387,0.53,Ulyanovsk,Russia,53.84N,47.73E"
"1975-03-01,1.028,0.21,Pyatigorsk,Russia,44.20N,42.48E"
"1983-07-01,20.106,0.249,Pyatigorsk,Russia,44.20N,42.48E"
"1991-11-01,3.221,0.144,Pyatigorsk,Russia,44.20N,42.48E"
"2000-03-01,1.815,0.624,Pyatigorsk,Russia,44.20N,42.48E"
"2008-07-01,20.472,0.188,Pyatigorsk,Russia,44.20N,42.48E"
"1799-12-01,22.493,1.7,Pyay,Burma,18.48N,94.65E"
"1813-04-01,29.3,1.447,Pyay,Burma,18.48N,94.65E"
"1821-08-01,25.609,1.369,Pyay,Burma,18.48N,94.65E"
"1829-12-01,22.48,3.36,Pyay,Burma,18.48N,94.65E"
"1839-02-01,23.885,1.674,Pyay,Burma,18.48N,94.65E"
"1847-06-01,26.484,1.184,Pyay,Burma,18.48N,94.65E"
"1976-11-01,-4.173,0.23,Ulyanovsk,Russia,53.84N,47.73E"
"1985-03-01,-7.471,0.679,Ulyanovsk,Russia,53.84N,47.73E"
"1993-07-01,19.345,0.348,Ulyanovsk,Russia,53.84N,47.73E"
"2001-11-01,-1.148,0.231,Ulyanovsk,Russia,53.84N,47.73E"
"2010-03-01,-4.935,0.249,Ulyanovsk,Russia,53.84N,47.73E"
"1870-06-01,33.614,1.443,Umm Durman,Sudan,15.27N,32.50E"
"1878-10-01,30.625,1.323,Umm Durman,Sudan,15.27N,32.50E"
"1887-02-01,23.598,1.705,Umm Durman,Sudan,15.27N,32.50E"
"1895-06-01,33.776,1.67,Umm Durman,Sudan,15.27N,32.50E"
"1903-10-01,30.541,1.512,Umm Durman,Sudan,15.27N,32.50E"
"1918-09-01,11.304,0.391,Oktyabrskiy,Russia,53.84N,53.18E"
"1927-01-01,-17.609,0.405,Oktyabrskiy,Russia,53.84N,53.18E"
"1935-05-01,12.386,0.365,Oktyabrskiy,Russia,53.84N,53.18E"
"1943-09-01,10.407,0.293,Oktyabrskiy,Russia,53.84N,53.18E"
"1952-01-01,-13.208,0.424,Oktyabrskiy,Russia,53.84N,53.18E"
"1960-05-01,9.233,0.567,Oktyabrskiy,Russia,53.84N,53.18E"
"1968-09-01,11.194,0.186,Oktyabrskiy,Russia,53.84N,53.18E"
"1977-01-01,-19.076,0.384,Oktyabrskiy,Russia,53.84N,53.18E"
